# Globus-M2 Tokamak Inversion Radius Analysis Results
# Generated by interval-regression-tokamak

# Section 1: Inversion Radius Estimates
# shot_number,time_before,time_after,bt_ip_ratio,r_inv_point,r_inv_low,r_inv_high,r_inv_ext_low,r_inv_ext_high,max_jaccard_index,is_consistent,is_consistent_ext
42145,194.50,197.60,0.001861,54.428,53.624,55.231,44.269,59.200,0.977671,1,1
42154,197.60,200.70,0.002347,51.992,51.518,52.466,48.200,53.335,0.962214,0,1
42354,213.20,216.40,0.002503,48.332,42.024,54.640,42.024,58.440,0.999042,1,1
42359,207.00,210.10,0.002572,49.092,42.024,56.160,42.024,59.200,0.984885,1,1
42379,175.70,178.90,0.002730,52.436,51.752,53.120,50.536,55.096,0.963866,0,1
42380,169.50,172.60,0.002733,55.324,52.056,58.592,50.688,58.896,0.980292,1,1
42505,213.30,216.40,0.002647,54.260,49.472,59.048,42.024,59.048,0.998907,1,1
42572,210.10,213.20,0.002648,54.564,50.232,58.896,42.024,59.048,0.999232,1,1
42664,194.50,197.60,0.003437,51.904,51.448,52.360,50.536,53.728,0.978708,0,1
42669,185.10,188.20,0.002625,54.184,49.624,58.744,47.344,59.200,0.993782,1,1
42678,191.40,194.50,0.002384,51.980,47.344,56.616,42.024,57.528,0.999986,1,1
42696,169.50,172.60,0.002370,53.728,48.864,58.592,42.024,59.200,0.964433,1,1
43039,164.20,167.30,0.003855,50.019,49.463,50.576,48.270,56.300,0.985400,0,1
43041,188.50,191.50,0.003797,52.061,51.602,52.520,50.349,53.439,0.990873,1,1
43043,164.20,167.30,0.003763,52.467,51.438,53.496,49.821,55.848,0.991236,1,1
43043,224.80,227.90,0.003763,51.614,50.902,52.326,49.300,53.928,0.990146,1,1
43048,221.80,224.80,0.002743,54.863,51.792,57.933,50.724,58.200,0.962388,1,1
43054,206.70,209.70,0.002815,49.287,47.362,51.212,45.162,56.300,0.993449,0,1
43296,158.20,161.20,0.003095,48.462,47.087,49.837,42.138,52.175,0.991379,0,1
43305,164.20,167.30,0.003000,51.300,50.550,52.050,43.175,53.800,0.992964,0,1
43458,200.60,203.60,0.002820,56.053,51.906,60.200,50.341,60.200,0.970614,1,1
43464,185.50,188.50,0.002889,55.192,51.593,58.791,49.558,59.418,0.989221,1,1
43757,167.30,170.30,0.002346,53.443,52.837,54.049,51.322,56.019,0.944732,1,1
43762,176.40,179.40,0.002369,52.913,50.413,55.413,48.746,56.776,0.985169,1,1
43764,173.30,176.40,0.002350,53.519,53.140,53.898,51.928,54.655,0.943447,0,1
43923,182.40,185.40,0.002479,55.488,52.534,58.443,50.868,59.049,0.991840,1,1
43942,188.50,191.50,0.002439,53.670,53.443,53.898,44.050,59.200,0.867841,1,1
43943,191.50,194.50,0.002453,55.740,53.001,58.479,51.593,58.791,0.879189,1,1
43944,179.40,182.40,0.002453,56.444,52.688,60.200,44.863,60.200,0.979062,1,1
43946,182.40,185.50,0.002444,53.314,52.845,53.784,51.436,54.879,0.976707,0,1
43954,188.50,191.50,0.003087,51.827,51.279,52.375,49.401,60.044,0.939823,0,1
43967,212.70,215.80,0.003105,52.004,51.625,52.383,50.110,59.200,0.983301,0,1
43971,185.40,188.50,0.003147,55.716,52.534,58.897,51.776,58.897,0.969606,1,1
43975,209.70,212.70,0.003631,51.776,51.474,52.080,50.716,53.291,0.993356,0,1
43986,185.40,188.50,0.003707,52.610,52.231,52.989,50.716,53.898,0.968063,0,1
44000,194.50,197.60,0.003594,53.549,49.245,57.853,45.176,58.791,0.977915,1,1
44013,191.50,194.50,0.003500,52.837,52.231,53.443,42.081,59.200,0.999945,1,1
44034,182.40,185.40,0.002390,56.288,52.375,60.200,49.715,60.200,0.985994,1,1
44036,191.50,194.50,0.002491,55.270,50.967,59.574,48.932,59.731,0.953126,1,1
44071,176.40,179.40,0.002545,51.549,50.110,52.989,44.202,54.201,0.977005,0,1
44101,194.50,197.60,0.002694,54.731,50.261,59.200,42.081,59.200,0.971692,1,1
44151,182.40,185.50,0.003531,51.701,50.868,52.534,45.413,56.170,0.992978,1,1
44156,167.30,170.30,0.003117,51.701,50.716,52.686,42.081,59.200,0.986434,0,1
44159,164.20,167.30,0.002176,53.627,52.375,54.879,42.046,56.131,0.983994,1,1
44164,182.40,185.40,0.003040,55.114,51.123,59.105,42.046,59.731,0.980876,1,1
44165,173.30,176.40,0.003134,55.740,51.749,59.731,42.046,59.887,0.990045,1,1
44168,203.60,206.70,0.003154,53.001,52.375,53.627,42.046,55.035,0.930040,1,1
44183,200.60,203.60,0.002369,56.053,51.906,60.200,50.810,60.200,0.963193,1,1
44213,209.70,212.70,0.002373,52.375,51.906,52.845,50.184,54.723,0.924987,0,1
44213,221.80,224.80,0.002373,51.279,48.619,53.940,42.046,57.383,0.995688,0,1
44220,203.60,206.70,0.002373,55.192,50.654,59.731,49.245,60.200,0.974822,1,1
44221,215.80,218.80,0.002347,52.297,51.436,53.157,48.932,60.044,0.980251,0,1
44247,179.40,182.40,0.002493,56.397,53.595,59.200,47.080,59.200,0.928315,1,1
44248,182.40,185.40,0.002705,54.655,53.898,55.413,50.716,56.928,0.973570,0,1
44255,167.30,170.30,0.002699,54.504,51.474,57.534,46.626,58.139,0.994589,1,1
44266,191.50,194.50,0.002342,53.627,53.001,54.253,42.046,60.200,0.946598,1,1
44272,170.30,173.30,0.002382,53.973,52.837,55.110,42.081,56.776,0.969449,1,1
44296,191.50,194.50,0.002490,54.958,50.716,59.200,43.898,59.200,0.993748,1,1
44302,185.50,188.50,0.003451,56.131,52.062,60.200,51.123,60.200,0.984148,1,1
44344,185.50,188.50,0.002387,56.053,52.062,60.044,42.672,60.044,0.932408,1,1
44348,179.40,182.40,0.002347,56.131,52.062,60.200,50.341,60.200,0.976971,1,1
44349,167.30,170.30,0.002347,56.444,52.845,60.044,50.184,60.044,0.991215,1,1
44350,194.50,197.60,0.002347,53.549,53.001,54.097,50.028,55.662,0.922026,1,1
44350,197.60,200.60,0.002347,53.443,52.837,54.049,51.322,56.019,0.957398,1,1
44362,167.30,170.30,0.002374,54.801,49.401,60.200,42.046,60.200,0.986131,1,1
44377,170.30,173.30,0.002032,56.131,52.375,59.887,48.463,59.887,0.934726,1,1
44381,179.40,182.40,0.002293,51.398,48.746,54.049,42.081,58.594,0.986854,0,1
44427,176.40,179.40,0.002384,54.579,50.110,59.049,48.595,59.200,0.996356,1,1
44435,179.40,182.40,0.002710,51.852,50.868,52.837,47.231,59.200,0.998432,0,1
44438,185.40,188.50,0.002805,48.368,45.413,51.322,42.081,59.049,0.999665,0,1
44838,188.50,191.50,0.002350,55.337,51.928,58.746,49.504,59.049,0.999198,1,1

# Section 2: Regression Results
# type,slope,intercept,slope_lower,slope_upper,intercept_lower,intercept_upper,r_squared
regression,-1370.080940,57.206,-2378.854021,-373.915322,54.454,60.011,0.098516

# Section 3: Forecast Data
# bt_ip,r_inv_point,r_inv_lower,r_inv_upper
0.001489,55.165,50.912,59.454
0.001532,55.106,50.808,59.438
0.001576,55.047,50.705,59.422
0.001619,54.987,50.602,59.406
0.001663,54.928,50.499,59.389
0.001706,54.868,50.396,59.373
0.001749,54.809,50.293,59.357
0.001793,54.749,50.189,59.341
0.001836,54.690,50.086,59.325
0.001879,54.631,49.983,59.308
0.001923,54.571,49.880,59.292
0.001966,54.512,49.777,59.276
0.002010,54.452,49.674,59.260
0.002053,54.393,49.570,59.244
0.002096,54.333,49.467,59.227
0.002140,54.274,49.364,59.211
0.002183,54.215,49.261,59.195
0.002226,54.155,49.158,59.179
0.002270,54.096,49.054,59.162
0.002313,54.036,48.951,59.146
0.002356,53.977,48.848,59.130
0.002400,53.918,48.745,59.114
0.002443,53.858,48.642,59.098
0.002487,53.799,48.539,59.081
0.002530,53.739,48.435,59.065
