# Jaccard Index Curves for Each Sawtooth Event
# shot_number,time_before,radius,jaccard_index
42145,194.50,56.554,0.000000
42145,194.50,56.648,0.000000
42145,194.50,56.743,0.000000
42145,194.50,56.838,0.000000
42145,194.50,56.932,0.000000
42145,194.50,57.026,0.000000
42145,194.50,57.121,0.000000
42145,194.50,57.216,0.000000
42145,194.50,57.310,0.000000
42145,194.50,57.404,0.000000
42145,194.50,57.499,0.000000
42145,194.50,57.594,0.000000
42145,194.50,57.688,0.000000
42145,194.50,57.782,0.000000
42145,194.50,57.877,0.000000
42145,194.50,57.972,0.000000
42145,194.50,58.066,0.000000
42145,194.50,58.160,0.000000
42145,194.50,58.255,0.000000
42145,194.50,58.350,0.000000
42145,194.50,58.444,0.000000
42145,194.50,58.538,0.000000
42145,194.50,58.633,0.000000
42145,194.50,58.728,0.000000
42145,194.50,58.822,0.000000
42145,194.50,58.916,0.000000
42145,194.50,59.011,0.000000
42145,194.50,59.106,0.057688
42145,194.50,59.200,0.299905
42154,197.60,40.300,0.000000
42154,197.60,40.379,0.000000
42154,197.60,40.458,0.000000
42154,197.60,40.537,0.000000
42154,197.60,40.616,0.000000
42154,197.60,40.695,0.000000
42154,197.60,40.774,0.000000
42154,197.60,40.853,0.000000
42154,197.60,40.932,0.000000
42154,197.60,41.011,0.000000
42154,197.60,41.090,0.000000
42154,197.60,41.169,0.000000
42154,197.60,41.248,0.000000
42154,197.60,41.327,0.000000
42154,197.60,41.406,0.000000
42154,197.60,41.485,0.000000
42154,197.60,41.564,0.000000
42154,197.60,41.643,0.000000
42154,197.60,41.722,0.000000
42154,197.60,41.801,0.000000
42154,197.60,41.880,0.000000
42154,197.60,41.959,0.000000
42154,197.60,42.038,0.000000
42154,197.60,42.117,0.000000
42154,197.60,42.196,0.000000
42154,197.60,42.275,0.000000
42154,197.60,42.354,0.000000
42154,197.60,42.433,0.000000
42154,197.60,42.512,0.000000
42154,197.60,42.591,0.000000
42154,197.60,42.670,0.000000
42154,197.60,42.749,0.000000
42154,197.60,42.828,0.000000
42154,197.60,42.907,0.000000
42154,197.60,42.986,0.000000
42154,197.60,43.065,0.000000
42154,197.60,43.144,0.000000
42154,197.60,43.223,0.000000
42154,197.60,43.302,0.000000
42154,197.60,43.381,0.000000
42154,197.60,43.460,0.000000
42154,197.60,43.539,0.000000
42154,197.60,43.618,0.000000
42154,197.60,43.697,0.000000
42154,197.60,43.776,0.000000
42154,197.60,43.855,0.000000
42154,197.60,43.934,0.000000
42154,197.60,44.013,0.000000
42154,197.60,44.092,0.000000
42154,197.60,44.171,0.000000
42154,197.60,44.250,0.000000
42154,197.60,44.329,0.000000
42154,197.60,44.408,0.000000
42154,197.60,44.487,0.000000
42154,197.60,44.566,0.000000
42154,197.60,44.645,0.000000
42154,197.60,44.724,0.000000
42154,197.60,44.803,0.000000
42154,197.60,44.882,0.000000
42154,197.60,44.961,0.000000
42154,197.60,45.040,0.000000
42154,197.60,45.119,0.000000
42154,197.60,45.198,0.000000
42154,197.60,45.277,0.000000
42154,197.60,45.356,0.000000
42154,197.60,45.435,0.000000
42154,197.60,45.514,0.000000
42154,197.60,45.593,0.000000
42154,197.60,45.672,0.000000
42154,197.60,45.751,0.000000
42154,197.60,45.830,0.000000
42154,197.60,45.909,0.000000
42154,197.60,45.988,0.000000
42154,197.60,46.067,0.000000
42154,197.60,46.146,0.000000
42154,197.60,46.225,0.000000
42154,197.60,46.304,0.000000
42154,197.60,46.383,0.000000
42154,197.60,46.462,0.000000
42154,197.60,46.541,0.000000
42154,197.60,46.620,0.000000
42154,197.60,46.699,0.000000
42154,197.60,46.778,0.000000
42154,197.60,46.857,0.000000
42154,197.60,46.936,0.000000
42154,197.60,47.015,0.000000
42154,197.60,47.094,0.000000
42154,197.60,47.173,0.000000
42154,197.60,47.252,0.000000
42154,197.60,47.331,0.000000
42154,197.60,47.410,0.000000
42154,197.60,47.489,0.000000
42154,197.60,47.568,0.000000
42154,197.60,47.647,0.000000
42154,197.60,47.726,0.000000
42154,197.60,47.805,0.000000
42154,197.60,47.884,0.000000
42154,197.60,47.963,0.000000
42154,197.60,48.042,0.000000
42154,197.60,48.121,0.000000
42154,197.60,48.200,0.000550
42154,197.60,48.279,0.008482
42154,197.60,48.358,0.016407
42154,197.60,48.437,0.024296
42154,197.60,48.516,0.032119
42154,197.60,48.595,0.039847
42154,197.60,48.674,0.047447
42154,197.60,48.753,0.054882
42154,197.60,48.832,0.062118
42154,197.60,48.911,0.069117
42154,197.60,48.990,0.075855
42154,197.60,49.069,0.082359
42154,197.60,49.148,0.088664
42154,197.60,49.227,0.094808
42154,197.60,49.306,0.100830
42154,197.60,49.385,0.106774
42154,197.60,49.464,0.112684
42154,197.60,49.543,0.118608
42154,197.60,49.622,0.124596
42154,197.60,49.701,0.130703
42154,197.60,49.780,0.136985
42154,197.60,49.859,0.143502
42154,197.60,49.938,0.150320
42154,197.60,50.017,0.157506
42154,197.60,50.096,0.165136
42154,197.60,50.175,0.173290
42154,197.60,50.254,0.182054
42154,197.60,50.333,0.191525
42154,197.60,50.412,0.201806
42154,197.60,50.491,0.213015
42154,197.60,50.570,0.225278
42154,197.60,50.649,0.238742
42154,197.60,50.728,0.253567
42154,197.60,50.807,0.269941
42154,197.60,50.886,0.288074
42154,197.60,50.965,0.308210
42154,197.60,51.044,0.330636
42154,197.60,51.123,0.355682
42154,197.60,51.202,0.383746
42154,197.60,51.281,0.415258
42154,197.60,51.360,0.450579
42154,197.60,51.439,0.490105
42154,197.60,51.518,0.534302
42154,197.60,51.597,0.583728
42154,197.60,51.676,0.639052
42154,197.60,51.755,0.701079
42154,197.60,51.834,0.770781
42154,197.60,51.913,0.849347
42154,197.60,51.992,0.938238
42154,197.60,52.071,0.962214
42154,197.60,52.150,0.866009
42154,197.60,52.229,0.776699
42154,197.60,52.308,0.693795
42154,197.60,52.387,0.616831
42154,197.60,52.466,0.545373
42154,197.60,52.545,0.479014
42154,197.60,52.624,0.417381
42154,197.60,52.703,0.360127
42154,197.60,52.782,0.306934
42154,197.60,52.861,0.257513
42154,197.60,52.940,0.211599
42154,197.60,53.019,0.168950
42154,197.60,53.098,0.129349
42154,197.60,53.177,0.092596
42154,197.60,53.256,0.058515
42154,197.60,53.335,0.026946
42154,197.60,53.414,0.000000
42154,197.60,53.493,0.000000
42154,197.60,53.572,0.000000
42154,197.60,53.651,0.000000
42154,197.60,53.730,0.000000
42154,197.60,53.809,0.000000
42154,197.60,53.888,0.000000
42154,197.60,53.967,0.000000
42154,197.60,54.046,0.000000
42154,197.60,54.125,0.000000
42154,197.60,54.204,0.000000
42154,197.60,54.283,0.000000
42154,197.60,54.362,0.000000
42154,197.60,54.441,0.000000
42154,197.60,54.520,0.000000
42154,197.60,54.599,0.000000
42154,197.60,54.678,0.000000
42154,197.60,54.757,0.000000
42154,197.60,54.836,0.000000
42154,197.60,54.915,0.000000
42154,197.60,54.994,0.000000
42154,197.60,55.073,0.000000
42154,197.60,55.152,0.000000
42154,197.60,55.231,0.000000
42154,197.60,55.310,0.000000
42154,197.60,55.389,0.000000
42154,197.60,55.468,0.000000
42154,197.60,55.547,0.000000
42154,197.60,55.626,0.000000
42154,197.60,55.705,0.000000
42154,197.60,55.784,0.000000
42154,197.60,55.863,0.000000
42154,197.60,55.942,0.000000
42154,197.60,56.021,0.000000
42154,197.60,56.100,0.000000
42354,213.20,28.800,0.831024
42354,213.20,28.952,0.824537
42354,213.20,29.104,0.818308
42354,213.20,29.256,0.812328
42354,213.20,29.408,0.806589
42354,213.20,29.560,0.801082
42354,213.20,29.712,0.795802
42354,213.20,29.864,0.790742
42354,213.20,30.016,0.785894
42354,213.20,30.168,0.781252
42354,213.20,30.320,0.776812
