# Joint Corridor Forecast Data (Algorithm 3.7) - ext
# Mass Center Line: slope=-204.542731, intercept=51.388
# Diagonal Center Line: slope=-204.542731, intercept=51.388
# bt_ip,r_inv_center,r_inv_lower,r_inv_upper
0.009156,49.515,-19.321,118.351
0.009198,49.507,-19.792,118.805
0.009240,49.498,-20.263,119.259
0.009282,49.489,-20.734,119.713
0.009325,49.481,-21.206,120.167
0.009367,49.472,-21.677,120.621
0.009409,49.463,-22.148,121.075
0.009451,49.455,-22.619,121.529
0.009493,49.446,-23.090,121.983
0.009536,49.438,-23.562,122.437
0.009578,49.429,-24.033,122.891
0.009620,49.420,-24.504,123.345
0.009662,49.412,-24.975,123.799
0.009705,49.403,-25.447,124.253
0.009747,49.394,-25.918,124.707
0.009789,49.386,-26.389,125.161
0.009831,49.377,-26.860,125.615
0.009873,49.368,-27.332,126.069
0.009916,49.360,-27.803,126.523
0.009958,49.351,-28.274,126.977
0.010000,49.343,-28.745,127.430
