# Joint Corridor Forecast Data (Algorithm 3.7)
# Mass Center Line: slope=-1440.498058, intercept=57.847
# Diagonal Center Line: slope=-1440.498058, intercept=57.847
# bt_ip,r_inv_center,r_inv_lower,r_inv_upper
0.009240,44.537,35.799,53.275
0.009282,44.476,35.680,53.273
0.009325,44.415,35.560,53.271
0.009367,44.355,35.441,53.269
0.009409,44.294,35.321,53.267
0.009451,44.233,35.202,53.264
0.009493,44.172,35.082,53.262
0.009536,44.111,34.962,53.260
0.009578,44.051,34.843,53.258
0.009620,43.990,34.723,53.256
0.009662,43.929,34.604,53.254
0.009705,43.868,34.484,53.252
0.009747,43.807,34.365,53.250
0.009789,43.747,34.245,53.248
0.009831,43.686,34.126,53.246
0.009873,43.625,34.006,53.244
0.009916,43.564,33.887,53.242
0.009958,43.503,33.767,53.240
0.010000,43.443,33.648,53.238
